web_scraper_order,id,web_scraper_start_url,link_pages,link_listings,area_m2_raw,area_m2,rooms_raw,rent_chf_raw,rent_chf,year_built_raw,address,canton
1764272678-4,1,https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true&ep=40,https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?ep=50&be=15000&ac=2.5&ad=5.5&ipd=true,https://www.homegate.ch/rent/4002530569,134 m2,134,5.5,"2,530.–",2530,1984,"Kesslernmattstr. 14, 8965 Berikon",Zurich
1764272681-5,2,https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true&ep=40,https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?ep=50&be=15000&ac=2.5&ad=5.5&ipd=true,https://www.homegate.ch/rent/4002542635,98 m2,98,3.5,"2,255.–",2255,1989,"Im Spitzler 21, 8902 Urdorf",Zurich
1764272684-6,3,https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true&ep=40,https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?ep=50&be=15000&ac=2.5&ad=5.5&ipd=true,https://www.homegate.ch/rent/4002551340,68 m2,68,3.5,"1,945.–",1945,1973,"Ferdinand Hodler-Str. 14, 8049 Zürich",Zurich
1764272687-7,4,https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true&ep=40,https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?ep=50&be=15000&ac=2.5&ad=5.5&ipd=true,https://www.homegate.ch/rent/4002567338,134 m2,134,5.5,"5,590.–",5590,1906,"Weinbergstrasse 72, 8006 Zürich",Zurich
1764272699-10,5,https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true&ep=40,https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?ep=50&be=15000&ac=2.5&ad=5.5&ipd=true,https://www.homegate.ch/rent/4002572292,94 m2,94,4.5,"2,360.–",2360,1971,"Bahnhofstr. 73, 8957 Spreitenbach",Zurich
1764272708-13,6,https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true&ep=40,https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?ep=50&be=15000&ac=2.5&ad=5.5&ipd=true,https://www.homegate.ch/rent/4002580360,98 m2,98,3.5,"4,424.–",4424,2010,"Florastrasse 7, 8700 Küsnacht",Zurich
1764272713-14,7,https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true&ep=40,https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?ep=50&be=15000&ac=2.5&ad=5.5&ipd=true,https://www.homegate.ch/rent/4002582006,75 m2,75,3.5,"2,780.–",2780,2025,"Hardstrasse 6, 8105 Regensdorf",Zurich
1764272717-15,8,https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true&ep=40,https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?ep=50&be=15000&ac=2.5&ad=5.5&ipd=true,https://www.homegate.ch/rent/4002582541,92 m2,92,4.5,"3,370.–",3370,2025,"Hardstrasse 6, 8105 Regensdorf",Zurich
1764272721-16,9,https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true&ep=40,https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?ep=50&be=15000&ac=2.5&ad=5.5&ipd=true,https://www.homegate.ch/rent/4002585263,151 m2,151,4.5,"7,350.–",7350,2015,"Susenbergstrasse 90, 8044 Zürich",Zurich
1764272724-17,10,https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?be=15000&ac=2.5&ad=5.5&ipd=true&ep=40,https://www.homegate.ch/rent/real-estate/city-zurich/matching-list?ep=50&be=15000&ac=2.5&ad=5.5&ipd=true,https://www.homegate.ch/rent/4002587137,97 m2,97,2.5,"4,320.–",4320,1890,"Seefeldstrasse 102, 8008 Zürich",Zurich
