web_scraper_order,web_scraper_start_url,rent_raw,area_raw,address_raw,rooms_raw
"1764190728-1","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=5","CHF 2’890.– / Monat","110m²","Gaswerkstrasse 9, 5610 Wohlen","4.5"
"1764190728-2","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=5","CHF 2’770.– / Monat","105m²","Gaswerkstrasse 9, 5610 Wohlen","4.5"
"1764190728-3","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=5","CHF 3’530.– / Monat","157m²","Am Mühlebach 6, 8964 Rudolfstetten-Friedlisberg","3.5"
"1764190728-4","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=5","CHF 3’140.– / Monat","126m²","Am Mühlebach 6, 8964 Rudolfstetten-Friedlisberg","3.5"
"1764190728-5","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=5","CHF 1’600.– / Monat","80m²","Rosenweg 5, 5314 Kleindöttingen","3.5"
"1764190728-6","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=5","CHF 2’360.– / Monat","125m²","Kellenäckerstrasse 6, 5303 Würenlingen","4.5"
"1764190728-7","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=5","CHF 2’350.– / Monat","93m²","Schachen 35, 5722 Gränichen","3.5"
"1764190728-8","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=5","CHF 2’430.– / Monat","98m²","Zugerstrasse19, 8917 Lunkhofen","4.5"
"1764190728-9","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=5","CHF 2’350.– / Monat","90m²","Stockweg 18, 5022 Rombach","3.5"
"1764190728-10","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=5","CHF 1’900.– / Monat","68m²","Schachen 32, 5722 Gränichen","2.5"
"1764190728-11","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=5","CHF 1’300.– / Monat","60m²","Breiteweg 22, 5314 Kleindöttingen","2.5"
"1764190728-12","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=5","CHF 1’350.– / Monat","65m²","Rindel, 5425 Schneisingen","2.5"
"1764190728-13","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=5","CHF 2’280.– / Monat","75m²","Feldstrasse 2D, 4663 Aarburg","3.5"
"1764190728-14","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=5","CHF 2’450.– / Monat","107m²","4324 Obermumpf","2.5"
"1764190728-15","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=5","CHF 2’070.– / Monat","57m²","Badenerstrasse 54, 5413 Birmenstorf AG","2.5"
"1764190728-16","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=5","CHF 1’760.– / Monat","68m²","Am Stadtbach 1a, 4800 Zofingen","2.5"
"1764190728-17","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=5","CHF 4’600.– / Monat","142m²","Theaterplatz 12, 5400 Baden","3.5"
"1764190728-18","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=5","CHF 3’270.– / Monat","112m²","Am Stadtbach 1a, 4800 Zofingen","3.5"
"1764190728-19","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=5","CHF 3’090.– / Monat","163m²","Pilatusstrasse 7, 5734 Reinach","5.5"
"1764190728-20","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=5","CHF 3’090.– / Monat","163m²","Pilatusstrasse 7, 5734 Reinach","5.5"
"1764190732-21","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=4","CHF 2’890.– / Monat","110m²","Gaswerkstrasse 9, 5610 Wohlen","4.5"
"1764190732-22","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=4","CHF 2’770.– / Monat","105m²","Gaswerkstrasse 9, 5610 Wohlen","4.5"
"1764190732-23","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=4","CHF 3’530.– / Monat","157m²","Am Mühlebach 6, 8964 Rudolfstetten-Friedlisberg","3.5"
"1764190732-24","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=4","CHF 3’140.– / Monat","126m²","Am Mühlebach 6, 8964 Rudolfstetten-Friedlisberg","3.5"
"1764190732-25","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=4","CHF 1’600.– / Monat","80m²","Rosenweg 5, 5314 Kleindöttingen","3.5"
"1764190732-26","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=4","CHF 2’360.– / Monat","125m²","Kellenäckerstrasse 6, 5303 Würenlingen","4.5"
"1764190732-27","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=4","CHF 2’350.– / Monat","93m²","Schachen 35, 5722 Gränichen","3.5"
"1764190732-28","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=4","CHF 2’430.– / Monat","98m²","Zugerstrasse19, 8917 Lunkhofen","4.5"
"1764190732-29","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=4","CHF 2’350.– / Monat","90m²","Stockweg 18, 5022 Rombach","3.5"
"1764190732-30","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=4","CHF 1’900.– / Monat","68m²","Schachen 32, 5722 Gränichen","2.5"
"1764190732-31","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=4","CHF 1’300.– / Monat","60m²","Breiteweg 22, 5314 Kleindöttingen","2.5"
"1764190732-32","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=4","CHF 1’350.– / Monat","65m²","Rindel, 5425 Schneisingen","2.5"
"1764190732-33","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=4","CHF 2’280.– / Monat","75m²","Feldstrasse 2D, 4663 Aarburg","3.5"
"1764190732-34","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=4","CHF 2’450.– / Monat","107m²","4324 Obermumpf","2.5"
"1764190732-35","https://www.homegate.ch/mieten/immobilien/kanton-aargau/trefferliste?ak=50&ac=2.5&ad=5.5?pn=4","CHF 2’070.– / Monat","57m²","Badenerstrasse 54, 5413 Birmenstorf AG","2.5"
