web_scraper_order,web_scraper_start_url,rent_raw,area_raw,address_raw,rooms_raw
"1764190527-1","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=5","CHF 1,800.– / month","","Bundesplatz 12, 6300 Zug","2.5"
"1764190527-2","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=5","CHF 3,750.– / month","93m²","Hauptstrasse 70, 6313 Edlibach","3.5"
"1764190527-3","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=5","CHF 3,800.– / month","140m²","6313 Edlibach","5.5"
"1764190527-4","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=5","CHF 12,200.– / month","200m²","Oberdorfstrasse 11, 6318 Walchwil","4.5"
"1764190527-5","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=5","CHF 5,100.– / month","120m²","Waldhof 6, 6300 Zug","4.5"
"1764190527-6","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=5","CHF 4,015.– / month","101m²","Suurstoffi 16, 6343 Risch-Rotkreuz","2.5"
"1764190527-7","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=5","CHF 1,350.– / month","75m²","Industriestrasse 17, 6300 Zug","4.5"
"1764190527-8","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=5","CHF 3,795.– / month","153m²","Röhrliberg 26, 6330 Cham","5.5"
"1764190527-9","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=5","CHF 2,685.– / month","94m²","Burgmatt 1, 6340 Baar","4"
"1764190527-10","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=5","CHF 3,595.– / month","57m²","Baarerstrasse 57, 6300 Zug","2.5"
"1764190527-11","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=5","CHF 5,600.– / month","123m²","Dersbachstrasse 325, 6333 Hünenberg See","3.5"
"1764190527-12","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=5","CHF 15,500.– / month","251m²","Sonnrain 11, 6340 Baar","5.5"
"1764190527-13","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=5","CHF 18,000.– / month","242m²","6300 Zug","5.5"
"1764190527-14","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=5","CHF 4,150.– / month","165m²","Bachtalen 26, 6332 Hagendorn","5.5"
"1764190527-15","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=5","CHF 2,230.– / month","72m²","Rainstr. 11, 6312 Steinhausen","3.5"
"1764190527-16","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=5","CHF 7,700.– / month","178m²","Dersbachstrasse 321, 6333 Hünenberg See","4.5"
"1764190527-17","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=5","CHF 5,500.– / month","98m²","Lorzenparkstrasse 15b, 6330 Cham","3"
"1764190527-18","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=5","CHF 5,500.– / month","95m²","Lorzenparkstrasse 15b, 6330 Cham","3"
"1764190527-19","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=5","CHF 4,500.– / month","","Bundesplatz 12, 6300 Zug","4"
"1764190527-20","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=5","CHF 6,280.– / month","99m²","Baarerstrasse 59, 6300 Zug","3.5"
"1764190531-21","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 1,800.– / month","","Bundesplatz 12, 6300 Zug","2.5"
"1764190531-22","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 3,750.– / month","93m²","Hauptstrasse 70, 6313 Edlibach","3.5"
"1764190531-23","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 3,800.– / month","140m²","6313 Edlibach","5.5"
"1764190531-24","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 12,200.– / month","200m²","Oberdorfstrasse 11, 6318 Walchwil","4.5"
"1764190531-25","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 5,100.– / month","120m²","Waldhof 6, 6300 Zug","4.5"
"1764190531-26","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 4,015.– / month","101m²","Suurstoffi 16, 6343 Risch-Rotkreuz","2.5"
"1764190531-27","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 1,350.– / month","75m²","Industriestrasse 17, 6300 Zug","4.5"
"1764190531-28","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 3,795.– / month","153m²","Röhrliberg 26, 6330 Cham","5.5"
"1764190531-29","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 2,685.– / month","94m²","Burgmatt 1, 6340 Baar","4"
"1764190531-30","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 3,595.– / month","57m²","Baarerstrasse 57, 6300 Zug","2.5"
"1764190531-31","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 5,600.– / month","123m²","Dersbachstrasse 325, 6333 Hünenberg See","3.5"
"1764190531-32","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 15,500.– / month","251m²","Sonnrain 11, 6340 Baar","5.5"
"1764190531-33","https://www.homegate.ch/rent/real-estate/city-zug/matching-list?be=4000&ac=2.5&ad=5.5&ipd=true?pn=4","CHF 18,000.– / month","242m²","6300 Zug","5.5"
